poste,diplome,specialite,ecole,promotion,experience_ans,selectionne,source
CGM,MASTER,Finances contrôle et audit,USMBA,2021,3,1,reel
CGM,MASTER,Gestion Financière et comptable,ENCG,2020,3,1,reel
CGM,MASTER,Gestion Financière et comptable,ENCG,2020,3,1,reel
CGM,MASTER,Management comptable et financier,USMBA,2019,3,1,reel
CGM,MASTER,Management financier et comptable,USMBA,2015,6,0,reel
CGM,LICENCE,Gestion des entreprises,FSJES,1990,7,0,reel
CGM,MASTER,Finances des marchés,UMR,2015,3,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Développement informatique,ISTA,2007,16,1,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Audiovisuel,ISTA,2015,6,1,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Développement informatique,ISTA,2014,7,1,reel
ARCHIVISTE,TECHNICIEN,Agent technique de vente,ISTA,2007,6,1,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,ISTA,2019,0,1,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,ISTA,2014,0,0,reel
ARCHIVISTE,LICENCE,Géographie,USM,2022,0,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Développement informatique,ISTA,2008,0,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Technique de développement Informatique,ISTA,2017,0,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Technique de développement Informatique,ISTA,2015,0,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Développement informatique,ISTA,2021,0,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,MIAGE,2017,0,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,ISTA,2010,0,0,reel
ARCHIVISTE,LICENCE,Economie et Gestion,FSJES,2021,0,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,ISTA,2018,0,0,reel
ARCHIVISTE,TECHNICIEN,Gestion informatisée,EKTEC,2008,0,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Réseaux Informatique,ISTA,2012,0,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Management touristique,ISTA,2024,0,0,reel
ARCHIVISTE,LICENCE,Management et gestion de PME,FEDE,2020,0,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Commerce,ISTA,2019,0,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion Financière et Comptable,ENCG,2023,0,0,reel
ARCHIVISTE,TECHNICIEN SPECIALISE,Gestion des entreprises,ISTA,2019,0,0,reel
ARCHIVISTE,TECHNICIEN,Comptable d'entreprises,ISTA,2020,0,0,reel
